# For Office 2007 Enterprise edition - Chinese Traditional,,,,,,
# Last updated: 2015-02-11 (2015-02 Patch Tuesday),,,,,,
# Download?,Date,KB number,Security bulletin,Component,Download ID,Direct link
Y,2015-02,2956098,MS15-012,wordconv,45757,http://download.microsoft.com/download/E/B/F/EBF02585-B50C-4815-8BB6-53C0AB7EFF7C/wordconv2007-kb2956098-fullfile-x86-glb.exe
Y,2015-02,2956099,MS15-012,word,45747,http://download.microsoft.com/download/0/F/2/0F29E846-66C9-4695-84BB-1A1489BA7E80/word2007-kb2956099-fullfile-x86-glb.exe
Y,2015-02,2920795,MS15-013,otkruntimertl,45838,http://download.microsoft.com/download/4/F/0/4F05951A-57A4-4736-AE7F-893B1540AA62/otkruntimertl2007-kb2920795-fullfile-x86-glb.exe
Y,2012-11,2687404,-,outlookloc,35718,http://download.microsoft.com/download/6/0/5/6055C934-DA73-4DCD-9D4D-D4F71961CE37/outlookloc2007-kb2687404-fullfile-x86-glb.exe
Y,2013-02,2596620,-,osetup,36733,http://download.microsoft.com/download/3/7/D/37D355E3-F58F-46B2-BDC5-168FF00D2272/osetup2007-kb2596620-fullfile-x86-glb.exe
Y,2013-02,2767916,-,niceclass,36762,http://download.microsoft.com/download/2/A/1/2A1977B6-B8CE-4EAB-AD0F-F673E6E95AE7/niceclass2007-kb2767916-fullfile-x86-glb.exe
Y,2013-08,2767849,-,msxml5,39906,http://download.microsoft.com/download/4/C/8/4C8E6002-312F-4752-9A41-001A15EAA900/msxml52007-kb2767849-fullfile-x86-glb.exe
Y,2014-04,2863811,-,outlook,42427,http://download.microsoft.com/download/E/4/5/E4570289-A920-449C-9683-8BF084D02C3E/outlook2007-kb2863811-fullfile-x86-glb.exe
Y,2014-11,2597972,-,powerpoint,44883,http://download.microsoft.com/download/F/3/2/F32E1E4B-9476-47CF-BA4F-E4C58D1BB929/powerpoint2007-kb2597972-fullfile-x86-glb.exe
Y,2015-02,2596787,-,mstore,45823,http://download.microsoft.com/download/3/7/C/37C6540D-64A3-4406-A0AA-FB66A29567A3/mstore2007-kb2596787-fullfile-x86-glb.exe
Y,2015-02,2956096,-,outlfltr,45818,http://download.microsoft.com/download/3/F/9/3F94117A-0A97-455D-BA87-D746E7958152/outlfltr2007-kb2956096-fullfile-x86-glb.exe
N,2009-04,963665,-,wordhelp,7878,http://download.microsoft.com/download/3/2/7/3277FF53-D4A7-4C0F-AC8D-BDA35314C8B6/office2007-kb963665-fullfile-x86-zh-tw.exe
N,2009-04,963669,-,powerpointhelp,1634,http://download.microsoft.com/download/D/7/0/D70D6CA0-5976-4985-A3AA-735E823DE4EA/office2007-kb963669-fullfile-x86-zh-tw.exe
N,2009-04,963671,-,officehelp,16723,http://download.microsoft.com/download/1/A/4/1A4F90F9-DD58-4139-A7F1-9391FF652AA0/office2007-kb963671-fullfile-x86-en-us.exe
N,2009-04,963673,-,ribbonhelp,17108,http://download.microsoft.com/download/3/B/9/3B93920B-747E-4F27-AA6A-9335AB410B73/office2007-kb963673-fullfile-x86-en-us.exe
N,2009-04,963678,-,excelhelp,17555,http://download.microsoft.com/download/1/6/1/161E5EAD-F136-47F8-81F5-EAEDF4985497/office2007-kb963678-fullfile-x86-zh-tw.exe
