# Download?,Date,KB number,Security bulletin,Component(s),Bits,Download ID,Direct link
# ,,,,,,, For Office Professional Plus 2010 - English (United States)
# ,,,,,,, Last updated: 2015-12-04 (2015-11 Patch Tuesday)
# ,,,,,,, THIS IS WORK IN PROGRESS AND NOT YET FINAL!!
N1,2013-09,2687423,MS13-074,ace,64,40178,https://download.microsoft.com/download/B/4/F/B4F75602-6F79-42DA-94A5-3E3282463A85/ace2010-kb2687423-fullfile-x64-glb.exe
N,2013-10,2826033,MS13-085,excel,32,40641,https://download.microsoft.com/download/6/C/3/6C325C9B-5E29-42E3-BD54-C729DE6914DA/excel2010-kb2826033-fullfile-x86-glb.exe
N,2013-10,2826033,MS13-085,excel,64,40673,https://download.microsoft.com/download/0/8/B/08B5F371-E04A-4B39-871C-35795C6426A1/excel2010-kb2826033-fullfile-x64-glb.exe
Y1,2013-11,2597087,-,msores,32,41105,https://download.microsoft.com/download/9/7/D/97DECAC9-C2F5-46E8-96F2-D6267DD6BAED/msores2010-kb2597087-fullfile-x86-glb.exe
Y1,2013-11,2597087,-,msores,64,41106,https://download.microsoft.com/download/F/4/B/F4BF7808-EC68-40AA-8600-3C421E498FA5/msores2010-kb2597087-fullfile-x64-glb.exe
Y1,2013-11,2589352,-,oleo,32,41108,https://download.microsoft.com/download/D/C/0/DC0E808B-7AB3-4FBB-AE0E-974EC86FC904/oleo2010-kb2589352-fullfile-x86-glb.exe
Y1,2013-11,2589352,-,oleo,64,41119,https://download.microsoft.com/download/7/F/A/7FA4CD52-DF4B-4B2B-8A55-35B7F0118945/oleo2010-kb2589352-fullfile-x64-glb.exe
N1,2013-11,2837597,MS13-094,outlook,32,41116,https://download.microsoft.com/download/1/4/2/142BCEBF-605B-4EC3-813B-2971D5F12169/outlook2010-kb2837597-fullfile-x86-glb.exe
N1,2013-11,2837597,MS13-094,outlook,64,41104,https://download.microsoft.com/download/9/1/5/91533135-EF15-45F0-9720-2F81CF8D6218/outlook2010-kb2837597-fullfile-x64-glb.exe
N,2013-11,2553284,MS13-091,convintl,32,41111,https://download.microsoft.com/download/4/C/5/4C5B6992-015F-49A2-99EA-82CDC1A9F90E/convloc2010-kb2553284-fullfile-x86-glb.exe
N,2013-11,2553284,MS13-091,convintl,64,41118,https://download.microsoft.com/download/2/E/4/2E4699DC-BE57-4A03-B136-9635D92624C1/convloc2010-kb2553284-fullfile-x64-glb.exe
Y1,2013-12,2850016,MS13-106,mshelp,32,41499,https://download.microsoft.com/download/C/D/8/CD8A3590-D8E1-4A7F-AF97-D66DCFC6AEB4/mshelp2010-kb2850016-fullfile-x86-glb.exe
Y1,2013-12,2850016,MS13-106,mshelp,64,41506,https://download.microsoft.com/download/C/8/2/C820D7BC-BE4F-4A91-860C-CA7C7A20F177/mshelp2010-kb2850016-fullfile-x64-glb.exe
Y1,2014-02,2760601,-,groove,32,41910,https://download.microsoft.com/download/5/D/6/5D6FF1BC-BE0D-4167-9949-808C1906F6F6/groove2010-kb2760601-fullfile-x86-glb.exe
Y1,2014-02,2760601,-,groove,64,41909,https://download.microsoft.com/download/6/7/7/677A900A-C89E-43A3-B5A4-8BA5643AB11E/groove2010-kb2760601-fullfile-x64-glb.exe
N,2014-02,2687567,-,outlook outlookintl,32,41924,https://download.microsoft.com/download/2/6/A/26AC46AC-83DB-4CB3-9513-46F20B387C9C/outlookloc2010-kb2687567-fullfile-x86-glb.exe
N,2014-02,2687567,-,outlook outlookintl,64,41926,https://download.microsoft.com/download/9/B/B/9BB568A1-04C1-4BF3-8A62-0003E766F957/outlookloc2010-kb2687567-fullfile-x64-glb.exe
N,2014-02,2837595,-,onenote,32,41908,https://download.microsoft.com/download/5/2/7/527682F4-CABF-41AF-86DC-B4E406FD7895/onenote2010-kb2837595-fullfile-x86-glb.exe
N,2014-02,2837595,-,onenote,64,41917,https://download.microsoft.com/download/C/1/3/C13D5765-568F-4A25-85B6-AE959D63B976/onenote2010-kb2837595-fullfile-x64-glb.exe
N,2014-02,2817396,-,infopath,32,41914,https://download.microsoft.com/download/0/D/1/0D11C148-7F8C-4D93-95F8-36DCD75C08FC/infopath2010-kb2817396-fullfile-x86-glb.exe
N,2014-02,2817396,-,infopath,64,41919,https://download.microsoft.com/download/A/2/5/A2588528-0413-4836-8E81-947E2BAD1FEB/infopath2010-kb2817396-fullfile-x64-glb.exe
Y1,2014-02,2817369,-,ipeditor,32,41921,https://download.microsoft.com/download/6/8/9/6898AFCC-5636-4F50-BE8A-1C7E93AAA2F3/ipeditor2010-kb2817369-fullfile-x86-glb.exe
Y1,2014-02,2817369,-,ipeditor,64,41916,https://download.microsoft.com/download/3/2/D/32D75E13-CABC-40B4-99BE-B330FBFB0533/ipeditor2010-kb2817369-fullfile-x64-glb.exe
N,2014-04,2837579,-,powerpoint powerpointintl,32,42491,https://download.microsoft.com/download/E/E/F/EEFE9C56-DCF6-4A3A-89DF-04ADE66A5700/powerpointloc2010-kb2837579-fullfile-x86-glb.exe
N,2014-04,2837579,-,powerpoint powerpointintl,64,42490,https://download.microsoft.com/download/C/5/D/C5D1D2D8-3E31-43D6-9488-40D66AB8BE1C/powerpointloc2010-kb2837579-fullfile-x64-glb.exe
N,2014-05,2837587,-,vviewer,32,42907,https://download.microsoft.com/download/7/1/D/71D24A11-98F0-46B4-9F9A-C90CB1265D44/vviewer2010-kb2837587-fullfile-x86-glb.exe
N,2014-05,2837587,-,vviewer,64,42893,https://download.microsoft.com/download/1/9/E/19ECA481-0FE9-4987-AC20-DC64EBA68A2B/vviewer2010-kb2837587-fullfile-x64-glb.exe
N,2014-05,2880526,-,visio visiointl,32,42926,https://download.microsoft.com/download/5/1/D/51DD3C2E-B7B7-46C1-ABB3-131018010C5C/visioloc2010-kb2880526-fullfile-x86-glb.exe
N,2014-05,2880526,-,visio visiointl,64,42891,https://download.microsoft.com/download/C/7/E/C7EA878B-3483-4D1E-991F-D486E3EDC3A0/visioloc2010-kb2880526-fullfile-x64-glb.exe
